Accuracy,Precision,Recall,loss
0.18332123756408691,0.1646096110343933,0.18332123756408691,2.0508322715759277
0.24288249015808105,0.2010299563407898,0.24288249015808105,1.9469701051712036
0.26026293635368347,0.2173435539007187,0.26026293635368347,1.9011800289154053
0.26945722103118896,0.2264682650566101,0.26945722103118896,1.8768510818481445
0.28353095054626465,0.24156984686851501,0.28353095054626465,1.8556137084960938
0.29712072014808655,0.25789105892181396,0.29712072014808655,1.829044222831726
0.3070005476474762,0.26395973563194275,0.3070005476474762,1.8158526420593262
0.3159528970718384,0.27824509143829346,0.3159528970718384,1.801992416381836
0.31466245651245117,0.28187453746795654,0.31466245651245117,1.7905445098876953
0.32296961545944214,0.2895146608352661,0.32296961545944214,1.7786756753921509
0.32329219579696655,0.2880227267742157,0.32329219579696655,1.7729116678237915
0.33095410466194153,0.2962489128112793,0.33095410466194153,1.7634665966033936
0.33647873997688293,0.29761672019958496,0.33647873997688293,1.7523572444915771
0.3356319069862366,0.3055272698402405,0.3356319069862366,1.7475374937057495
0.3413581848144531,0.3134150505065918,0.3413581848144531,1.745037317276001
0.33760786056518555,0.30534809827804565,0.33760786056518555,1.737903118133545
0.3540607988834381,0.3245551288127899,0.3540607988834381,1.7111527919769287
0.3563997149467468,0.3308098316192627,0.3563997149467468,1.7036774158477783
