Accuracy,Precision,Recall,loss
0.17532257735729218,0.15653294324874878,0.17532257735729218,2.060011386871338
0.27387097477912903,0.23963910341262817,0.27387097477912903,1.902911901473999
0.3602015972137451,0.337887167930603,0.3602015972137451,1.6973330974578857
0.4277016222476959,0.41291895508766174,0.4277016222476959,1.5309756994247437
0.47665321826934814,0.4651888906955719,0.47665321826934814,1.4101203680038452
0.5114516019821167,0.5041369795799255,0.5114516019821167,1.3222053050994873
0.5361693501472473,0.5302743911743164,0.5361693501472473,1.2527899742126465
0.5598790645599365,0.5555586218833923,0.5598790645599365,1.1965011358261108
0.5747580528259277,0.5715353488922119,0.5747580528259277,1.1440904140472412
0.590604841709137,0.587780773639679,0.590604841709137,1.1024776697158813
0.6048790216445923,0.6028745174407959,0.6048790216445923,1.0685489177703857
0.6141935586929321,0.6121026873588562,0.6141935586929321,1.041657567024231
0.6257258057594299,0.6239959001541138,0.6257258057594299,1.014959454536438
0.6310080885887146,0.6297684907913208,0.6310080885887146,0.9905151128768921
0.6412096619606018,0.6397063136100769,0.6412096619606018,0.970854640007019
0.6450403332710266,0.6439117193222046,0.6450403332710266,0.9492060542106628
0.6588307023048401,0.6579053401947021,0.6588307023048401,0.930294394493103
0.6625000238418579,0.6612966060638428,0.6625000238418579,0.9107924699783325
0.6639516353607178,0.6632986068725586,0.6639516353607178,0.9016554355621338
0.7014113068580627,0.7013102769851685,0.7014113068580627,0.8108838200569153
0.7089112997055054,0.7084630727767944,0.7089112997055054,0.7856505513191223
0.7073789834976196,0.7071266770362854,0.7073789834976196,0.7799568772315979
0.7175806760787964,0.7171841263771057,0.7175806760787964,0.7681857943534851
0.7152822613716125,0.7149817943572998,0.7152822613716125,0.768243134021759
0.7223790287971497,0.7221544981002808,0.7223790287971497,0.7540335655212402
0.7208870649337769,0.7202051877975464,0.7208870649337769,0.7537398934364319
0.7239515781402588,0.723484456539154,0.7239515781402588,0.7509468197822571
0.7235080599784851,0.7231150269508362,0.7235080599784851,0.7496704459190369
0.7256854772567749,0.7252748012542725,0.7256854772567749,0.7429197430610657
0.7286290526390076,0.7280914783477783,0.7286290526390076,0.7336716055870056
0.7291128635406494,0.7286984920501709,0.7291128635406494,0.7328895926475525
